ID,Scientific Name,Class,Category,Trend,Systems,Threats,Common Name
11175269.0,Sclerophrys latifrons,AMPHIBIA,LC,Decreasing,,,High Tropical Forest Toad
11182085.0,Sclerophrys gracilipes,AMPHIBIA,LC,Decreasing,,,French Congo Toad
11195316.0,Sclerophrys xeros,AMPHIBIA,LC,Stable,,,Subsaharan Toad
11196572.0,Sclerophrys perreti,AMPHIBIA,VU,Unknown,,,Perret'S Toad
11196049.0,Sclerophrys pentoni,AMPHIBIA,LC,Stable,,,Penton'S Toad
11201689.0,Sclerophrys superciliaris,AMPHIBIA,LC,Unknown,,,Cameroon Toad
11198550.0,Sclerophrys regularis,AMPHIBIA,LC,Stable,,,African Common Toad
11200629.0,Sclerophrys steindachneri,AMPHIBIA,LC,Decreasing,,,Steindachner'S Toad
11206262.0,Didynamipus sjostedti,AMPHIBIA,EN,Decreasing,,,Four-Digit Toad
11211369.0,Werneria mertensiana,AMPHIBIA,EN,Decreasing,,,Mertens' Smalltongue Toad
11213162.0,Nectophryne afra,AMPHIBIA,LC,Decreasing,,,African Tree Toad
11212834.0,Wolterstorffina parvipalmata,AMPHIBIA,VU,Decreasing,,,Cameroon Wolterstorff Toads
11267341.0,Cricetomys emini,MAMMALIA,LC,Stable,,,Emin'S Pouched Rat
11213306.0,Nectophryne batesii,AMPHIBIA,LC,Decreasing,,,Bates' Tree Toad
11272377.0,Cricetomys gambianus,MAMMALIA,LC,Stable,,,Gambian Giant Pouched Rat
11353681.0,Crocidura longipes,MAMMALIA,EN,,,,Crocidure A Pattes Longues
11404193.0,Afrixalus dorsalis,AMPHIBIA,LC,Increasing,,,Brown Banana Frog
11405044.0,Afrixalus nigeriensis,AMPHIBIA,NT,Stable,,,Nigeria Banana Frog
11406163.0,Afrixalus paradorsalis,AMPHIBIA,LC,Stable,,,Foulassi Banana Frog
11406561.0,Afrixalus quadrivittatus,AMPHIBIA,LC,Stable,,,Four-Lined Spiny Reed Frog
11410127.0,Afrixalus vittiger,AMPHIBIA,LC,Stable,,,Savannah Banana Frog
11410459.0,Afrixalus weidholzi,AMPHIBIA,LC,Stable,,,Weidholz'S Banana Frog
11411066.0,Hyperolius hypsiphonus,AMPHIBIA,LC,Decreasing,,,Hyperolius hypsiphonus
